score,comparative,positive,negative
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
-1,-0.058823529411764705,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":1,""comparative"":0.058823529411764705,""words"":[""sorry""]}"
2,0.09090909090909091,"{""score"":2,""comparative"":0.09090909090909091,""words"":[""thanks""]}","{""score"":0,""comparative"":0,""words"":[]}"
4,0.2857142857142857,"{""score"":4,""comparative"":0.2857142857142857,""words"":[""thanks"",""help""]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
-2,-0.08695652173913043,"{""score"":2,""comparative"":0.08695652173913043,""words"":[""better""]}","{""score"":4,""comparative"":0.17391304347826086,""words"":[""fuck""]}"
0,0,"{""score"":2,""comparative"":0.047619047619047616,""words"":[""stout""]}","{""score"":2,""comparative"":0.047619047619047616,""words"":[""sad""]}"
2,0.10526315789473684,"{""score"":2,""comparative"":0.10526315789473684,""words"":[""sweet""]}","{""score"":0,""comparative"":0,""words"":[]}"
4,0.1111111111111111,"{""score"":4,""comparative"":0.1111111111111111,""words"":[""true"",""favorite""]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
-4,-0.2,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":4,""comparative"":0.2,""words"":[""sad"",""miss""]}"
-1,-0.028571428571428574,"{""score"":2,""comparative"":0.05714285714285714,""words"":[""top""]}","{""score"":3,""comparative"":0.08571428571428572,""words"":[""sucks""]}"
-1,-0.02941176470588236,"{""score"":2,""comparative"":0.058823529411764705,""words"":[""like""]}","{""score"":3,""comparative"":0.08823529411764706,""words"":[""charged""]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
